Latitude,Longitude,Name
37.55,-117.915,SNM3HC
37.688,-116.703,TEDCSZ
37.051,-116.687,Q659WC
37.121,-117.06,FF2GPL
37.789,-116.939,9VEHWY
37.068,-117.038,VX1UF0
37.499,-116.883,NLIE6E
37.164,-116.775,NUJRDN
37.776,-117.457,WG5UBQ
37.46,-117.366,UJW1KG
37.173,-117.582,WIUAB0
37.833,-117.335,CPEEQY
37.62,-117.961,8VEAIC
37.399,-117.479,9RCQI2
37.645,-116.858,IM8R6T
37.425,-117.14,E5OR7K
37.617,-117.957,J9WKJA
37.632,-117.681,EQ8NHW
37.16,-117.192,ZNE4AL
37.197,-116.764,UKDXGV
37.635,-118.154,QBOYT1
37.379,-117.035,EOIHWJ
37.589,-117.497,KZ3FU1
37.634,-117.058,5X0HNL
37.659,-118.011,M3120C
37.778,-116.852,TSQKA2
37.344,-117.091,Z9826X
37.484,-116.875,5QU3GA
37.582,-116.878,UTFSG7
37.279,-116.579,1MN72M
37.424,-117.051,H5EWFR
37.763,-117.19,FHIL50
37.992,-118.03,9Y45LI
37.634,-117.741,O85GBN
37.102,-117.052,8LT1LS
37.758,-118.093,M8HWYV
37.157,-117.201,GLEXMJ
37.124,-116.666,MBKUWU
37.362,-116.892,DCPQEI
37.659,-116.699,NCXAHG
37.921,-117.123,I0W78P
37.64,-117.293,1MARXW
37.477,-116.858,8H5K7F
37.21,-116.83,Z4BWJK
37.626,-117.056,ATV0ME
37.904,-116.897,AGP5MW
37.967,-117.476,N02HCN
37.696,-116.983,AQUPMY
37.039,-117.71,4WA8XY
37.399,-117.846,52F8OV
37.151,-117.057,MMCQ0V
37.184,-118.146,KNUW96
37.106,-117.237,W1F82S
37.109,-117.234,AW3PP0
37.725,-116.639,MEWSAO
37.193,-117.209,5K46ZQ
37.126,-116.788,GUW396
37.591,-117.112,J9X0MI
37.821,-117.116,3ZH9TN
37.553,-117.084,YGVAZV
37.541,-117.093,S8AYZ7
37.528,-117.2,LKW1CK
37.79,-117.331,GYOL6K
37.318,-116.757,YKN5TU
37.131,-117.044,DSR2F3
37.751,-116.685,ML4YIN
37.318,-117.027,KJMZQX
37.129,-117.017,KXBDVC
37.234,-117.982,YE1OWU
37.631,-117.713,2YEATM
37.645,-116.683,W03XO9
37.197,-118.03,5LYXF0
37.434,-117.489,CKA1MK
37.388,-117.487,21PBUW
37.142,-117.212,DT3CXW
37.601,-116.666,RDSFXF
37.112,-117.746,UZ30Y2
37.841,-117.112,J5TSAH
37.615,-117.062,E8K1DN
37.837,-117.316,BJJKTW
37.503,-117.212,I7MEDG
37.786,-116.814,1OLVQU
37.764,-116.679,G1815V
