X,Y,Name
481957.772,3979718.984,9824a950
481036.4143,3983141.498,d08d8cf3
480624.1501,3985637.661,3725ed89
480117.8397,3987471.287,2ff03c0b
481092.0872,3987438.338,fb3b31d6
480660.4488,3988070.557,258ea3e9
481788.1098,3980012.137,c72ab988
481235.26,3982062.653,7a7c7228
480544.0439,3984390.294,f876f7b4
480317.7836,3986978.102,fac6dd5e
478244.3793,3974089.277,6d0a6466
477164.5944,3975803.553,9473b826
476375.7664,3976160.236,37b71579
476812.0729,3977191.97,d3c533fe
482146.4161,3973509.924,38ac8621
483076.4882,3973862.782,78a5ff7f
482877.8547,3975266.376,be2c0e42
