id,Label,Easting,Northing,Reflectance,Band,Wavelength,Date,Projection
0,a1,400728.8821,4176965.244,113,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
1,a2,397513.657,4184514.034,108,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
2,a3,429526.1156,4153480.122,122,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
3,a4,442247.2236,4165362.475,154,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
4,a5,469646.5332,4184514.034,116,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
5,a6,487120.5826,4148447.596,88,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
6,a7,448817.4662,4139221.297,49,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
7,a8,449097.051,4155437.215,76,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
8,a9,424353.797,4165362.475,114,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
9,a10,403105.3528,4133909.186,88,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
10,a11,409256.2182,4129435.83,130,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
11,a12,411772.4814,4126220.605,101,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
12,a13,428267.9841,4124543.096,160,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
13,a14,423654.835,4128736.868,148,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
14,a15,421697.7415,4183535.487,117,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
15,a16,412191.8585,4191503.653,154,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
16,a17,442247.2236,4190105.729,135,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
17,a18,415546.876,4173470.434,118,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
18,a19,463915.045,4142436.522,94,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
19,a20,477195.3225,4140060.052,92,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
20,a21,458323.3491,4136285.657,84,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
21,a22,386889.4349,4158372.856,87,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
22,a23,465732.3461,4195697.425,114,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
23,a24,463635.4602,4185352.788,120,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
24,a25,430504.6624,4196116.802,114,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
25,a26,490755.1849,4160329.949,95,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
26,a27,494809.1644,4178223.376,127,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
27,a28,465592.5537,4155856.592,117,B1,0.443,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
28,a1,400728.8821,4176965.244,114,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
29,a2,397513.657,4184514.034,108,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
30,a3,429526.1156,4153480.122,125,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
31,a4,442247.2236,4165362.475,155,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
32,a5,469646.5332,4184514.034,117,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
33,a6,487120.5826,4148447.596,83,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
34,a7,448817.4662,4139221.297,51,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
35,a8,449097.051,4155437.215,78,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
36,a9,424353.797,4165362.475,116,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
37,a10,403105.3528,4133909.186,89,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
38,a11,409256.2182,4129435.83,136,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
39,a12,411772.4814,4126220.605,104,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
40,a13,428267.9841,4124543.096,158,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
41,a14,423654.835,4128736.868,147,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
42,a15,421697.7415,4183535.487,118,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
43,a16,412191.8585,4191503.653,153,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
44,a17,442247.2236,4190105.729,135,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
45,a18,415546.876,4173470.434,115,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
46,a19,463915.045,4142436.522,93,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
47,a20,477195.3225,4140060.052,88,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
48,a21,458323.3491,4136285.657,83,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
49,a22,386889.4349,4158372.856,91,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
50,a23,465732.3461,4195697.425,114,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
51,a24,463635.4602,4185352.788,120,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
52,a25,430504.6624,4196116.802,114,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
53,a26,490755.1849,4160329.949,92,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
54,a27,494809.1644,4178223.376,128,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
55,a28,465592.5537,4155856.592,117,B2,0.482,2014-09-05,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
