id,Label,Easting,Northing,Reflectance,Band,Wavelength,Date,Projection
0,44,398469.1080246914,4177832.3456790135,90,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
1,43,399145.9043209877,4178332.586419754,101,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
2,42,399567.67592592596,4178675.88888889,100,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
3,41,400322.9413580247,4179048.6172839515,111,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
4,40,401274.37962962966,4179274.216049384,119,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
5,38,402323.9043209877,4179303.6419753097,136,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
6,37,403088.97839506174,4178734.7407407416,129,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
7,36,402500.4598765432,4178597.4197530877,123,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
8,35,401647.1080246914,4178558.185185186,116,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
9,34,400960.5030864198,4178489.524691359,111,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
10,33,399920.7870370371,4178224.6913580257,113,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
11,32,399293.0339506173,4177851.962962964,106,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
12,31,398782.98456790124,4177528.277777779,107,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
13,30,398851.6450617284,4176792.6296296306,108,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
14,29,399704.9969135803,4177341.913580248,98,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
15,28,400538.7314814815,4177695.024691359,103,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
16,27,401274.37962962966,4177842.154320989,114,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
17,26,402176.77469135803,4177901.0061728405,119,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
18,25,402598.5462962963,4177930.4320987663,124,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
19,24,402853.5709876543,4177381.1481481493,148,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
20,23,401951.17592592596,4177175.166666668,123,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
21,22,401097.8240740741,4177126.123456791,116,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
22,21,400430.8364197531,4177096.697530865,109,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
23,20,399871.7438271605,4176880.9074074086,110,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
24,19,399332.26851851854,4176655.308641976,110,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
25,18,398939.9228395062,4176449.327160495,105,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
26,17,399508.8240740741,4176262.962962964,102,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
27,16,400273.89814814815,4176184.4938271614,106,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
28,15,401235.1450617284,4176233.5370370382,105,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
29,14,402088.4969135803,4176292.38888889,113,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
30,13,402686.8240740741,4176410.0925925937,118,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
31,12,403236.1080246914,4176410.0925925937,132,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
32,11,403294.9598765432,4175890.234567902,119,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
33,10,402755.48456790124,4175713.6790123465,115,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
34,9,402029.6450617284,4175595.975308643,114,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
35,8,401225.3364197531,4175645.0185185196,110,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
36,7,400528.9228395062,4175684.2530864207,111,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
37,6,400018.87345679017,4175811.7654321,106,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
38,5,399410.737654321,4175998.1296296306,104,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
39,4,401274.37962962966,4175262.4814814827,106,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
40,3,401980.60185185185,4175203.6296296306,118,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
41,2,402775.10185185185,4175252.672839507,120,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
42,1,403167.4475308642,4175448.8456790135,120,B2,0.482,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
43,44,398469.1080246914,4177832.3456790135,91,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
44,43,399145.9043209877,4178332.586419754,97,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
45,42,399567.67592592596,4178675.88888889,94,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
46,41,400322.9413580247,4179048.6172839515,107,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
47,40,401274.37962962966,4179274.216049384,119,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
48,38,402323.9043209877,4179303.6419753097,126,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
49,37,403088.97839506174,4178734.7407407416,122,B5,0.865,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
