X,Y,Name
400728.8821,4176965.244,a1
397513.657,4184514.034,a2
429526.1156,4153480.122,a3
442247.2236,4165362.475,a4
469646.5332,4184514.034,a5
487120.5826,4148447.596,a6
448817.4662,4139221.297,a7
449097.051,4155437.215,a8
424353.797,4165362.475,a9
403105.3528,4133909.186,a10
409256.2182,4129435.83,a11
411772.4814,4126220.605,a12
428267.9841,4124543.096,a13
423654.835,4128736.868,a14
421697.7415,4183535.487,a15
412191.8585,4191503.653,a16
442247.2236,4190105.729,a17
415546.876,4173470.434,a18
463915.045,4142436.522,a19
477195.3225,4140060.052,a20
458323.3491,4136285.657,a21
386889.4349,4158372.856,a22
465732.3461,4195697.425,a23
463635.4602,4185352.788,a24
430504.6624,4196116.802,a25
490755.1849,4160329.949,a26
494809.1644,4178223.376,a27
465592.5537,4155856.592,a28
